Term	TermType	English	Turkish	Dutch	German	French	Italian	Portuguese	Spanish	Russian	Japanese	Korean
SnitchAreYouSure	0	You will lose your <color=#FFC20F>Snitches</color> !	<color=#FFC20F>Snitchlerinizi</color> kaybedeceksiniz!	Je verliest je <color=#FFC20F>Snitches</color> !	Du wirst deine <color=#FFC20F>Snitches</color> verlieren!	Vous perdrez vos <color=#FFC20F>Snitches</color> !	Perderai i tuoi <color=#FFC20F>Snitch</color>!	Você vai perder seus <color=#FFC20F>Snitches</color> !	Perderás tus <color=#FFC20F>Snitches</color>.	Вы потеряете свои <color=#FFC20F>Snitches</color>!	あなたの<color=#FFC20F>スニッチ</color>を失います！	<color=#FFC20F>Snitch들</color>을 잃게 됩니다!
SnitchInfoStep1	0	Beat <color=#FFC20F>{0} Levels!</color>	<color=#FFC20F>{0} Seviyeyi Geç!</color>	Voltooi <color=#FFC20F>{0} Levels!</color>	Meistere <color=#FFC20F>{0} Level!</color>	Bats <color=#FFC20F>{0} niveaux !</color>	Completa <color=#FFC20F>{0} livelli!</color>	Complete <color=#FFC20F>{0} Níveis!</color>	¡Supera <color=#FFC20F>{0} niveles!</color>	Пройдите <color=#FFC20F>{0} уровней!</color>	<color=#FFC20F>{0} レベルをクリアしよう！</color>	<color=#FFC20F>{0} 레벨을</color> 완료하세요!
SnitchInfoStep2	0	<color=#FFC20F>Activate</color> your Snitches!	<color=#FFC20F>Snitchlerinizi Aktive Edin!</color>	<color=#FFC20F>Activeer</color> je Snitches!	<color=#FFC20F>Aktiviere</color> deine Snitches!	<color=#FFC20F>Activez</color> vos Snitchs !	<color=#FFC20F>Attiva</color> i tuoi Snitch!	<color=#FFC20F>Ative</color> seus Snitches!	<color=#FFC20F>¡Activa</color> tus Snitch!	<color=#FFC20F>Активируйте</color> ваших Snitch'ей!	<color=#FFC20F>スニッチをアクティベート</color>してください！	<color=#FFC20F>활성화</color> 당신의 Snitch들!
SnitchInfoStep3Power	0	<color=#FFC20F>Power</color> Snitch removes blocker! 	<color=#FFC20F>Power</color> Snitch engelleri kaldırır!	<color=#FFC20F>Power</color> Snitch verwijdert blokkades!	<color=#FFC20F>Kraft</color> Snitch entfernt Blocker!	<color=#FFC20F>Puissance</color> Snitch supprime un obstacle !	<color=#FFC20F>Power</color> Snitch rimuove il blocco!	<color=#FFC20F>Poder</color> Snitch remove bloqueador!	<color=#FFC20F>Poder</color> Snitch elimina el obstáculo!	<color=#FFC20F>Сила</color> Snitch удаляет препятствие!	<color=#FFC20F>パワー</color>スニッチがブロッカーを取り除く！	<color=#FFC20F>Power</color> Snitch가 방해물을 제거합니다!
SnitchInfoStep3Silver	0	<color=#BDA9E7>Silver</color> Snitch reveals "  <sprite=0>       "	<color=#BDA9E7>Silver</color> Snitch "  <sprite=0>       " açar.	<color=#BDA9E7>Zilveren</color> Snitch onthult "  <sprite=0>       "	<color=#BDA9E7>Silberner</color> Snitch zeigt „  <sprite=0>       “	<color=#BDA9E7>Argent</color> Snitch révèle "  <sprite=0>       "	<color=#BDA9E7>Argento</color> Snitch rivela "  <sprite=0>       "	<color=#BDA9E7>Silver</color> Snitch revela "  <sprite=0>       "	<color=#BDA9E7>Plateado</color> Snitch revela "  <sprite=0>       "	<color=#BDA9E7>Серебряный</color> Snitch показывает "  <sprite=0>       "	<color=#BDA9E7>シルバー</color>スニッチが"  <sprite=0>       "を明らかにします	<color=#BDA9E7>Silver</color> Snitch가 "  <sprite=0>       "을 드러냅니다.
SnitchInfoWarning	0	Snitches will be active until you fail!	Snitchler başarısız olana kadar aktif olacak!	Snitches zullen actief blijven totdat je faalt!	Heckerl sind aktiv, bis du scheiterst!	Les Snitchs seront actifs jusqu'à ce que vous échouiez !	Le Snitch rimarranno attivi finché non fallirai!	Os Snitches estarão ativos até você falhar!	¡Los Snitch estarán activos hasta que falles!	Снитчи будут активны, пока вы не проиграете!	スニッチは失敗するまでアクティブになります！	스니치들은 당신이 실패할 때까지 활동합니다!
SnitchJoinProgressCompletedText	0	Snitches are now <color=#05E800>Active!</color>	Snitchler artık <color=#05E800>Aktif!</color>	Snitches zijn nu <color=#05E800>Actief!</color>	Snitches sind jetzt <color=#05E800>Aktiv!</color>	Les Snitchs sont maintenant <color=#05E800>actifs !</color>	Gli Snitch sono ora <color=#05E800>Attivi!</color>	Os Snitchs estão agora <color=#05E800>Ativos!</color>	Los Snitches ahora están <color=#05E800>¡Activos!</color>	Снитчи теперь <color=#05E800>активны!</color>	スニッチは現在<color=#05E800>アクティブです！</color>	스니치가 이제 <color=#05E800>활성화되었습니다!</color>
SnitchJoinProgressText	0	Beat 10 levels to activate <color=#FFC20F>Snitches!</color>	10 seviyeyi geçerek <color=#FFC20F>Snitchleri</color> aktifleştir!	Voltooi 10 levels om <color=#FFC20F>Snitches!</color> te activeren.	Schließe 10 Level ab, um <color=#FFC20F>Snitches!</color> zu aktivieren.	Terminez 10 niveaux pour activer les <color=#FFC20F>Snitches !</color>	Supera 10 livelli per attivare <color=#FFC20F>Snitches!</color>	Complete 10 níveis para ativar <color=#FFC20F>Snitches!</color>	Supera 10 niveles para activar <color=#FFC20F>Snitches!</color>	Пройдите 10 уровней, чтобы активировать <color=#FFC20F>Snitches!</color>	10レベルをクリアして<color=#FFC20F>Snitches</color>を発動しよう！	10단계를 완료하여 <color=#FFC20F>Snitches!</color>를 활성화하세요!
SnitchJoinTitle	0	Snitch Hunt	Snitch Avı	Snitch Jacht	Snitch-Jagd	Chasse aux Snitch	Caccia allo Snitch	Caça ao Snitch	Caza de Snitch	Поиск Snitch	スニッチハント	스니치 사냥
Sound	0	Sound	Ses	Geluid	Ton	Son	Suono	Som	Sonido	Звук	サウンド	소리
SpeciaItemCarpetDescription	0	Sort bottles to roll the <color=#8A1DD1>CARPET</color>!	Şişeleri sıralayarak <color=#8A1DD1>HALI</color>'yı yuvarlayın!	Sorteer flessen om het <color=#8A1DD1>TAPIJT</color> uit te rollen!	Sortiere die Flaschen, um den <color=#8A1DD1>TEPPICH</color> auszurollen!	Triez les bouteilles pour dérouler le <color=#8A1DD1>TAPIS</color> !	Ordina le bottiglie per fare rotolare il <color=#8A1DD1>TAPPETO</color>!	Organize as garrafas para desenrolar o <color=#8A1DD1>TAPETE</color>!	Ordena las botellas para desenrollar la alfombra <color=#8A1DD1>CARPET</color>!	Сортируйте бутылки, чтобы развернуть <color=#8A1DD1>КОВЁР</color>!	ボトルを並べて<color=#8A1DD1>カーペット</color>を転がそう！	병을 정렬하여 <color=#8A1DD1>양탄자<color>를 굴리세요!
SpeciaItemCarpetTitle	0	Carpet!	Halı!	Tapijt!	Teppich!	Tapis !	Tappeto!	Tapete!	¡Alfombra!	Ковёр!	カーペット！	카펫!
SpeciaItemClayDescription	0	<color=#8A1DD1>CLAY</color> blocks bottle movement. Sort the bottle to break it.	<color=#8A1DD1>KİL</color> şişenin hareketini engeller. Şişeyi kırmak için sıralayın.	<color=#8A1DD1>KLEI</color> blokkeert de beweging van de fles. Sorteer de fles om het te breken.	<color=#8A1DD1>TÖPFERCLAY</color> blockiert die Bewegung der Flasche. Sortiere die Flasche, um sie zu zerbrechen.	<color=#8A1DD1>ARGILE</color> bloque le mouvement de la bouteille. Triez la bouteille pour la casser.	<color=#8A1DD1>ARGILLA</color> blocca il movimento della bottiglia. Ordina la bottiglia per romperla.	<color=#8A1DD1>ARGILA</color> bloqueia o movimento da garrafa. Organize a garrafa para quebrá-la.	Las <color=#8A1DD1>arcillas</color> bloquean el movimiento de la Botella Mágica. Ordena la botella para romperla.	<color=#8A1DD1>ГЛИНА</color> блокирует движение бутылки. Отсортируйте бутылку, чтобы разбить её.	<color=#8A1DD1>粘土</color>がボトルの動きを妨げます。ボトルを整理して壊しましょう。	<color=#8A1DD1>점토</color> 블록이 병의 움직임을 막습니다. 병을 정렬하여 깨뜨리세요.
SpeciaItemClayTitle	0	Clay!	Kil!	Klei!	Lehm!	Argile !	Argilla!	Argila!	¡Arcilla!	Глина!	粘土！	점토!
SpeciaItemCurtainDescription	0	Sort the color required on <color=#8A1DD1>CURTAIN</color> to remove it!	<color=#8A1DD1>PERDE</color> üzerinde gereken rengi sıraya koyun ve onu ortadan kaldırın!	Sorteer de vereiste kleur op het <color=#8A1DD1>GORDIJN</color> om het te verwijderen!	Ordne die benötigte Farbe auf dem <color=#8A1DD1>VORHANG</color>, um sie zu entfernen!	Triez la couleur requise sur <color=#8A1DD1>RIDEAU</color> pour l'enlever !	Ordina il colore richiesto sulla <color=#8A1DD1>TENDA</color> per rimuoverla!	Organize a cor necessária na <color=#8A1DD1>CORTINA</color> para removê-la!	Ordena el color requerido en la <color=#8A1DD1>CORTINA</color> para eliminarlo.	Отсортируйте нужный цвет на <color=#8A1DD1>ЗАНАВЕСЕ</color>, чтобы убрать его!	色を仕分けして、<color=#8A1DD1>カーテン</color>を取り除こう！	<color=#8A1DD1>커튼</color>에 필요한 색상을 정렬하여 제거하세요!
SpeciaItemCurtainTitle	0	Curtain!	Perde!	Gordijn!	Vorhang!	Rideau !	Tenda!	Cortina!	¡Cortina!	Занавес!	カーテン！	커튼!
SpeciaItemDuckHouseDescription	0	Collect all crystals to break the <color=#8A1DD1>CRYSTAL GATE</color>!	Tüm kristalleri toplayarak <color=#8A1DD1>KRİSTAL KAPIYI</color> kırın!	Verzamel alle kristallen om de <color=#8A1DD1>KRISTALPOORT</color> te doorbreken!	Sammle alle Kristalle, um das <color=#8A1DD1>KRISTALLTOR</color> zu durchbrechen!	Collectez tous les cristaux pour briser la <color=#8A1DD1>PORTE DE CRISTAL</color> !	Raccogli tutti i cristalli per rompere il <color=#8A1DD1>PORTALE DI CRISTALLO</color>!	Colete todos os cristais para quebrar o <color=#8A1DD1>PORTAL DE CRISTAL</color>!	¡Recoge todos los cristales para romper la <color=#8A1DD1>PUERTA DE CRISTAL</color>!	Соберите все кристаллы, чтобы разрушить <color=#8A1DD1>КРИСТАЛЛИЧЕСКИЕ ВОРОТА</color>!	すべてのクリスタルを集めて<color=#8A1DD1>クリスタルゲート</color>を突破しよう！	모든 크리스탈을 모아 <color=#8A1DD1>크리스탈 게이트</color>를 부수세요!
SpeciaItemDuckHouseTitle	0	Crystal Gate!	Kristal Kapı!	Kristallenpoort!	Kristalltor!	Porte de Cristal !	Portale di Cristallo!	Portal de Cristal!	¡Puerta de Cristal!	Кристальные Врата!	クリスタルゲート！	크리스탈 게이트!
SpeciaItemGeneratorDescription	0	Empty the tiny bottle to let <color=#8A1DD1>DISPENSER</color> refill it again!	Küçük şişeyi boşalt, böylece <color=#8A1DD1>DAĞITICI</color> onu tekrar doldurabilsin!	Leeg de kleine fles om de <color=#8A1DD1>DISPENSER</color> deze opnieuw te laten vullen!	Leere die winzige Flasche, damit der <color=#8A1DD1>DISPENSER</color> sie erneut auffüllen kann!	Videz la petite bouteille pour laisser le <color=#8A1DD1>DISTRIBUTEUR</color> la remplir à nouveau !	Svuota la piccola bottiglia affinché il <color=#8A1DD1>DISTRIBUTORE</color> possa riempirla di nuovo!	Esvazie a pequena garrafa para que o <color=#8A1DD1>DISTRIBUIDOR</color> possa enchê-la novamente!	¡Vacía la pequeña botella para que el <color=#8A1DD1>DISPENSER</color> la rellene de nuevo!	Опустошите маленькую бутылочку, чтобы <color=#8A1DD1>ДИСПЕНСЕР</color> смог наполнить её снова!	小さなボトルを空にして、<color=#8A1DD1>DISPENSER</color>に再び満たしてもらおう！	작은 병을 비워 <color=#8A1DD1>디스펜서</color>가 다시 채우게 하세요!
SpeciaItemGeneratorTitle	0	Dispenser!	Dağıtıcı!	Verdeler!	Dispenser!	Distributeur !	Distributore!	Distribuidor!	¡Dispensador!	Диспенсер!	ディスペンサー！	디스펜서!
SpeciaItemIceDescription	0	<color=#8A1DD1>ICE</color> freezes the bottles. Sort one bottle to break all the <color=#8A1DD1>ICE</color>!	<color=#8A1DD1>BUZ</color> şişeleri dondurur. Tüm <color=#8A1DD1>BUZ</color>'u kırmak için bir şişeyi sıralayın!	<color=#8A1DD1>IJS</color> bevriest de flessen. Sorteer één fles om al het <color=#8A1DD1>IJS</color> te breken!	<color=#8A1DD1>EIS</color> friert die Flaschen ein. Sortiere eine Flasche, um das gesamte <color=#8A1DD1>EIS</color> zu brechen!	<color=#8A1DD1>GLACE</color> gèle les bouteilles. Triez une bouteille pour briser toute la <color=#8A1DD1>GLACE</color> !	<color=#8A1DD1>GHIACCIO</color> congela le bottiglie. Ordina una bottiglia per rompere tutto il <color=#8A1DD1>GHIACCIO</color>!	<color=#8A1DD1>GELO</color> congela as garrafas. Organize uma garrafa para quebrar todo o <color=#8A1DD1>GELO</color>!	<color=#8A1DD1>HIELO</color> congela las botellas. ¡Ordena una botella para romper todo el <color=#8A1DD1>HIELO</color>!	<color=#8A1DD1>ЛЕД</color> замораживает бутылки. Переставь одну бутылку, чтобы разбить весь <color=#8A1DD1>ЛЕД</color>!	<color=#8A1DD1>氷</color>がボトルを凍らせます。一つのボトルを整理して全ての<color=#8A1DD1>氷</color>を壊しましょう！	<color=#8A1DD1>얼음</color>이 병을 얼립니다. 한 병을 정리하여 모든 <color=#8A1DD1>얼음</color>을 깨뜨리세요!
SpeciaItemIceTitle	0	Ice!	Buz!	IJstijd!	Eis!	Glace !	Ghiaccio!	Gelo!	¡Hielo!	Лёд!	氷！	얼음!
SpeciaItemLockDescription	0	Free the <color=#8A1DD1>KEY</color> by pouring the color over it to unlock the bottle!	Rengi üzerine dökerek <color=#8A1DD1>ANAHTAR</color>'ı serbest bırak ve şişeyi aç!	Bevrijd de <color=#8A1DD1>SLEUTEL</color> door de kleur eroverheen te gieten om de fles te ontgrendelen!	Befreie den <color=#8A1DD1>SCHLÜSSEL</color>, indem du die Farbe darüber gießt, um die Flasche zu entsperren!	Libère la <color=#8A1DD1>CLÉ</color> en versant la couleur dessus pour déverrouiller la bouteille !	Libera la <color=#8A1DD1>CHIAVE</color> versando il colore su di essa per sbloccare la bottiglia!	Libere a <color=#8A1DD1>CHAVE</color> derramando a cor sobre ela para destravar a garrafa!	¡Libera la <color=#8A1DD1>LLAVE</color> vertiendo el color sobre ella para desbloquear la botella!	Освободите <color=#8A1DD1>КЛЮЧ</color>, разлив цвет на него, чтобы открыть бутылку!	色をかけて<color=#8A1DD1>鍵</color>を解放し、ボトルをアンロックしましょう!	색상을 <color=#8A1DD1>열쇠</color>에 부어 병을 열어서 해방하세요!
SpeciaItemLockTitle	0	Key!	Anahtar!	Sleutel!	Schlüssel!	Clé !	Chiave!	Chave!	¡Llave!	Ключ!	キー！	열쇠!
SpeciaItemMagicSealDescription	0	Empty the <color=#8A1DD1>METAL TUBE</color> to remove it!	<color=#8A1DD1>METAL TÜPÜ</color> boşaltarak ortadan kaldır!	Leeg de <color=#8A1DD1>METALEN BUIS</color> om deze te verwijderen!	Leere das <color=#8A1DD1>METALLROHR</color>, um es zu entfernen!	Videz le <color=#8A1DD1>TUBE MÉTALLIQUE</color> pour le retirer !	Svuota il <color=#8A1DD1>TUBO DI METALLO</color> per rimuoverlo!	Esvazie o <color=#8A1DD1>TUBO DE METAL</color> para removê-lo!	¡Vacía el <color=#8A1DD1>TUBO METÁLICO</color> para quitarlo!	Опустошите <color=#8A1DD1>МЕТАЛЛИЧЕСКУЮ ТРУБУ</color>, чтобы убрать её!	<color=#8A1DD1>METAL TUBE</color>を空にして取り除こう！	<color=#8A1DD1>금속 튜브</color>를 비워서 제거하세요!
SpeciaItemMagicSealTitle	0	Metal Tube!	Metal Tüp!	Metaal Buis!	Metallrohr!	Tube Métallique !	Tubo di Metallo!	Tubo de Metal!	¡Tubo Metálico!	Металлическая Труба!	金属のチューブ！	금속관!
SpeciaItemPlasterDescription	0	Remove <color=#8A1DD1>Plaster</color> by filling the bottle next to it!	Yanındaki şişeyi doldurarak <color=#8A1DD1>Alçıyı</color> kaldır!	Verwijder <color=#8A1DD1>Plijster</color> door de fles ernaast te vullen!	Entferne das <color=#8A1DD1>Pflaster</color>, indem du die Flasche daneben füllst!	Retirez le <color=#8A1DD1>Plâtre</color> en remplissant la bouteille à côté !	Rimuovi il <color=#8A1DD1>cerotto</color> riempiendo la bottiglia accanto ad esso!	Remova o <color=#8A1DD1>Plaster</color> enchendo a garrafa ao lado dele!	¡Elimina el <color=#8A1DD1>Yeso</color> llenando la botella a su lado!		ボトルの横にある<color=#8A1DD1>プラスター</color>を埋めて取り除こう！	병 옆에 있는 <color=#8A1DD1>석고</color>를 채워서 제거하세요!
SpeciaItemPlasterTitle	0	Plaster!	Alçı!	Pleisters!	Gips!	Pansement !	Cerotto!	Emplastro!	¡Yeso!	Пластырь!	ギプス！	석고!
SpeciaItemSafeDescription	0	Sort bottles to break the <color=#8A1DD1>SAFE</color>!	Şişeleri sıralayarak <color=#8A1DD1>KASA</color>'yı kır!	Sorteer flessen om de <color=#8A1DD1>KLUIS</color> te kraken!	Sortiere die Flaschen, um den <color=#8A1DD1>TRESOR</color> zu knacken!	Triez les bouteilles pour briser le <color=#8A1DD1>COFFRE</color> !	Ordina le bottiglie per aprire la <color=#8A1DD1>CASSAFORTE</color>!	Organize as garrafas para quebrar o <color=#8A1DD1>COFRE</color>!	¡Ordena las botellas para romper la <color=#8A1DD1>CAJA FUERTE</color>!	Сортируйте бутылки, чтобы взломать <color=#8A1DD1>СЕЙФ</color>!	瓶を並べて<color=#8A1DD1>SAFE</color>を破りましょう！	병을 정렬하여 <color=#8A1DD1>SAFE</color>를 깨세요!
SpeciaItemSafeTitle	0	Safe!	Kasa!	Veilig!	der Safe! 	Inoffensif !	Salvo!	Cofre!	¡Seguro!	Сейф!	金庫！	안전!
SpeciaItemTagDescription	0	Bottle with <color=#8A1DD1>TAG</color> can only be filled with the same colored water!	<color=#8A1DD1>ETİKET</color> olan şişe sadece aynı renkteki suyla doldurulabilir!	Fles met <color=#8A1DD1>LABEL</color> kan alleen worden gevuld met water van dezelfde kleur!	Flasche mit <color=#8A1DD1>ETIKETT</color> kann nur mit Wasser derselben Farbe gefüllt werden!	Bouteille avec <color=#8A1DD1>ÉTIQUETTE</color> ne peut être remplie qu'avec de l'eau de la même couleur !	Bottiglia con <color=#8A1DD1>TAG</color> può essere riempita solo con acqua dello stesso colore!	Garrafa com a <color=#8A1DD1>ETIQUETA</color> só pode ser preenchida com água da mesma cor!	Botella con <color=#8A1DD1>ETIQUETA</color> solo puede llenarse con agua del mismo color.	Бутылка с <color=#8A1DD1>Отметка</color> может быть заполнена только водой того же цвета!	<color=#8A1DD1>タグ</color>のボトルは同じ色の水でしか満たせません！	<color=#8A1DD1>태그</color>이 있는 병은 같은 색상의 물로만 채울 수 있습니다!
SpeciaItemTagTitle	0	Tag!	Etiket!	Label!	Etikett!	Étiquette !	Tag!	Etiqueta!	¡Etiqueta!	Отметка!	タグ！	태그!
SpeciaItemToggleDescription	0	The <color=#8A1DD1>STOPPER</color> opens and closes with every move!	<color=#8A1DD1>TIPA</color> her hamlede açılır ve kapanır!	De <color=#8A1DD1>STOPPER</color> opent en sluit bij elke zet!	Der <color=#8A1DD1>STOPPER</color> öffnet und schließt sich mit jedem Zug!	Le <color=#8A1DD1>STOPPER</color> s'ouvre et se ferme à chaque mouvement !	Il <color=#8A1DD1>STOPPER</color> si apre e si chiude ad ogni mossa!	O <color=#8A1DD1>STOPPER</color> abre e fecha a cada movimento!	El <color=#8A1DD1>STOPPER</color> se abre y se cierra con cada movimiento.	<color=#8A1DD1>СТОПЕР</color> открывается и закрывается после каждого хода!	<color=#8A1DD1>STOPPER</color>は、毎回動くたびに開閉します！	<color=#8A1DD1>STOPPER</color>는 매 이동마다 열리고 닫힙니다!
SpeciaItemToggleTitle	0	Stopper!	Tıpa!	Stopper!	Stopper!	Bouchon!	Interruttore!	Parador!	Parador!	Стоппер!	ストッパー!	정지기!
SpeciaItemUnlocked	0	New Item Unlocked!	Yeni Öğe Açıldı!	Nieuw Item Ontgrendeld!	Neues Item freigeschaltet!	Nouvel Objet Débloqué !	Nuovo oggetto sbloccato!	Novo Item Desbloqueado!	¡Nuevo objeto desbloqueado!	Новый предмет разблокирован!	新しいアイテムがアンロックされました！	새로운 아이템이 잠금 해제되었습니다!
SpeciaItemWoodboxDescription	0	Reveal the key to open the <color=#8A1DD1>LOCKBOX</color>!	Anahtarını ortaya çıkar ve <color=#8A1DD1>KİLİT KUTUSU</color>'nu aç!	Ontdek de sleutel om de <color=#8A1DD1>LOCKBOX</color> te openen!	Enthülle den Schlüssel, um die <color=#8A1DD1>LOCKBOX</color> zu öffnen!	Découvrez la clé pour ouvrir le <color=#8A1DD1>COFFRE FORT</color> !	Rivela la chiave per aprire il <color=#8A1DD1>LOCKBOX</color>!	Revele a chave para abrir a <color=#8A1DD1>CAIXA BLOQUEADA</color>!	¡Revela la llave para abrir la <color=#8A1DD1>CAJA FUERTE</color>!	Раскройте ключ, чтобы открыть <color=#8A1DD1>ЗАПЕРТУЮ КОРОБКУ</color>!	鍵を見つけて<color=#8A1DD1>ロックボックス</color>を開けましょう！	<color=#8A1DD1>잠금 상자</color>를 열기 위한 열쇠를 찾아보세요!
SpeciaItemWoodboxTitle	0	Lockbox!	Kilitli Kutu!	Lockbox!	Tresorbox!	Coffre-fort !	Cassetta di sicurezza!	Caixa-forte!	¡Caja fuerte!	Сейф!	ロックボックス！	자물쇠 상자!
SpeciaItemZurnaDescription	0	Fill the <color=#8A1DD1>GIANT BOTTLE</color>!	<color=#8A1DD1>DEV ŞİŞEYİ</color> doldurun!	Vul de <color=#8A1DD1>REUZENFLES</color>!	Fülle die <color=#8A1DD1>RIESIGE FLASCHE</color>!	Remplissez la <color=#8A1DD1>GÉANTE BOUTEILLE</color> !	Riempi la <color=#8A1DD1>GIGANTE BOTTIGLIA</color>!	Encha a <color=#8A1DD1>GARRAFA GIGANTE</color>!	¡Llena la <color=#8A1DD1>SÚPER BOTELLA</color>!	Заполните <color=#8A1DD1>ОГРОМНУЮ БУТЫЛКУ</color>!	<color=#8A1DD1>巨大なボトル</color>を満たそう！	<color=#8A1DD1>거대한 병</color>을 채우세요!
SpeciaItemZurnaTitle	0	Giant Bottle!	Dev Şişe!	Reuzenfles!	Riesenflasche!	Bouteille Géante !	Bottiglia Gigante!	Garrafa Gigante!	¡Botella Gigante!	Большая бутылка!	巨大ボトル！	자이언트 보틀!
SpecialItemBagTitle	0	Bag	Çanta	Tas	Tasche	Sac	Borsa	Saco	Bolsa	Сумка	バッグ	가방
SpecialItemBagDescription	0	Sort bottles to break the <color=#8A1DD1>BAG</color>!	Şişeleri sıralayarak <color=#8A1DD1>ÇANTA</color>'yı kır!	Sorteer de flessen om de <color=#8A1DD1>ZAK</color> te breken!	Sortiere die Flaschen, um den <color=#8A1DD1>BEUTEL</color> zu zerstören!	Trie les bouteilles pour briser le <color=#8A1DD1>SAC</color> !	Ordina le bottiglie per rompere il <color=#8A1DD1>SACCO</color>!	Organize as garrafas para quebrar a <color=#8A1DD1>BOLSA</color>!	Ordena las botellas para romper la <color=#8A1DD1>BOLSA</color>!	Сортируйте бутылки, чтобы разбить <color=#8A1DD1>МЕШОК</color>!	ボトルを並べ替えて<color=#8A1DD1>BAG</color>を破ろう！	<color=#8A1DD1>가방</color>을 깨기 위해 병을 정렬하세요!
SpecialItemFireworkTitle	0	Firework!	Havai Fişek!	Vuurwerk!	Feuerwerk!	Feu d'artifice !	Fuochi d'artificio!	Fogos de artifício!	¡Fuegos artificiales!	Фейерверк!	ハナビ！	불꽃놀이!
SpecialItemFireworkDescription	0	Complete the bottle to launch fireworks!	Şişeyi tamamlayarak havai fişekleri fırlatın!	Vul de fles aan om vuurwerk af te steken!	Schließe die Flasche ab, um Feuerwerk zu zünden!	Remplissez la bouteille pour lancer des feux d'artifice !	Completa la bottiglia per lanciare i fuochi d'artificio!	Complete a garrafa para lançar fogos de artifício!	¡Completa la botella para lanzar fuegos artificiales!	Заполните бутылку, чтобы запустить фейерверки!	ボトルを完成させて、花火を打ち上げよう！	병을 완성하여 불꽃놀이를 시작하세요!
SpecialItemMosaicTitle	0	Mosaic!	Mozaik!	Mozaïek!	Mosaik!	Mosaïque !	Mosaico!	Mosaico!	¡Mosaico!	Мозаика!	モザイク！	모자이크!
SpecialItemMosaicDescription	0	Hit the targets to reveal mosaic!	Hedefleri vur ve mozaiği ortaya çıkar!	Raak de doelen om het mozaïek te onthullen!	Triff die Ziele, um das Mosaik freizulegen!	Touchez les cibles pour révéler la mosaïque !	Colpisci i bersagli per svelare il mosaico!	Acerte os alvos para revelar o mosaico!	¡Golpea los objetivos para revelar el mosaico!	Попадай в мишени, чтобы открыть мозаику!	ターゲットを狙ってモザイクを明らかにしよう！	목표물을 맞혀 모자이크를 밝혀보세요!
SpecialOfferAncientDeal	0	Ancient Deal!	Kadim Anlaşma!	Oude Aanbieding!	Angebot der Antike!	Offre Ancienne !	Offerta Antica!	Oferta Antiga!	¡Oferta Antigua!	Древняя Сделка!	古代の取引！	고대 거래!
SpecialOfferCoastline	0	Coastline Deal!	Sahil Teklifi!	Kustaanbieding!	Küstenangebot!	Offre Spéciale Côte !	Offerta Costa!	Oferta Costa!	¡Oferta de la Costa!	Предложение побережья!	海岸線のお得なオファー！	해안 거래!
SpecialOfferCoinFallDeal	0	Coinfall Deal	Coinfall Anlaşması	Muntenval Aanbieding	Münzregen Angebot	{0} Token kazan!	Offerta Coinfall	Oferta de Moedas	Oferta Coinfall	Суперпредложение Coinfall	コインフォールディール	코인폴 딜
SpecialOfferHeavenly	0	Heavenly Deal	Cennetsel Teklif	Hemelse Aanbieding	Himmlisches Angebot	Offre Céleste	Affare Celestiale	Oferta Celestial	Oferta Celestial	Небесное предложение	天国のオファー	천상의 거래
SpecialOfferPopupTimer	0	Ends in:	Bitmesine:	Eindigt over:	Endet in:	Se termine dans :	Termina tra:	Termina em:	Finaliza en:	Осталось:	終了まで:	종료까지:
SpecialOfferSorcerer	0	Sorcerer's Deal!	Sihirbazın Teklifi!	Aanbieding van de Tovenaar!	Zauberer-Deal!	Offre du Sorcier !	Offerta del Mago!	Oferta do Feiticeiro!	¡Oferta del Hechicero!	Сделка Колдуна!	魔法使いのお得なディール！	마법사의 특별 할인!
SpecialOfferSplashing	0	Splashing Deal!	Çarpıcı Fırsat!	Spetterende Deal!	Angebot des Tages!	Offre Éclatante !	Offerta Esplosiva!	Oferta Espetacular!	¡Oferta Asombrosa!	Выгодное предложение!	スペシャルオファー！	특가 이벤트!
SpecialtemReleaseTitle	0	New Item	Yeni Öğe	Nieuw Item	Neues Objekt	Nouvel objet	Nuovo oggetto	Novo Item	Nuevo objeto	Новый предмет	新アイテム	신규 아이템
Spin	0	Spin	Çevir	Draaien	Drehen	Tourne	Gira	Girar	Girar	Крутить	スピン	회전
Spin!	0	Spin!	Çevir!	Spin!	Drehen!	Tourne !	Gira!	Girar!	¡Gira!	Крути!	スピン！	스핀!
StPatricksDeal	0	St. Patricks Deal!	St. Patricks Teklifi!	St. Patricks Deal!	St. Patricks Angebot!	Offre de la Saint-Patrick !	Offerta di San Patrizio!	Oferta de St. Patrick!	¡Oferta de St. Patricks!	Сделка ко Дню Святого Патрика!	セント・パトリックス ディール！	성 패트릭의 거래!
Stage	0	Stage {0}	Aşama {0}	Stadium {0}	Stufe {0}	Étape {0}	Livello {0}	Etapa {0}	Escenario {0}	Уровень {0}	ステージ {0}	스테이지 {0}
StageWithoutCount	0	STAGE	AŞAMA	FASE	BÜHNE	ÉTAPE	Fase	ETAPA	ETAPA	ЭТАП	ステージ	스테이지
Stages	0	Stages	Aşamalar	Fasen	Bühnen	Niveaux	Fasi	Fases	Etapas	Этапы	ステージ	스테이지
Start	0	Start	Başla	Start	Start	Démarrer	Avvia	Iniciar	Inicio	Начать	開始	시작
